year,state,count
2008,AR,0
2008,VT,0
2008,IL,4
2008,IN,1
2008,IA,1
2008,AZ,1
2008,ID,0
2008,ME,0
2008,MD,1
2008,MA,1
2008,UT,2
2008,MO,1
2008,MN,3
2008,MI,3
2008,MT,1
2008,QC,4
2008,MS,0
2008,total,110
2009,WA,3
2009,BC,1
2009,WI,5
2009,WV,0
2009,FL,4
2009,WY,0
2009,NH,0
2009,NJ,2
2009,NM,2
2009,NC,3
2009,ND,0
2009,NE,0
2009,NY,6
2009,RI,0
2009,NV,2
2009,CO,3
2009,CA,15
2009,GA,4
2009,SA,1
2009,CT,1
2009,ON,2
2009,OK,2
2009,OH,10
2009,KS,5
2009,SC,0
2009,KY,1
2009,OR,2
2009,SD,0
2009,DE,0
2009,DC,0
2009,HI,0
2009,TX,8
2009,LA,1
2009,TN,3
2009,PA,4
2009,VA,4
2009,AB,1
2009,AK,0
2009,AL,0
2009,AR,0
2009,VT,0
2009,IL,3
2009,IN,1
2009,IA,2
2009,AZ,2
2009,ID,0
2009,ME,0
2009,MD,1
2009,MA,2
2009,UT,2
2009,MO,0
2009,MN,2
2009,MI,3
2009,MT,0
2009,QC,1
2009,MS,0
2009,total,114
2010,WA,2
2010,BC,2
2010,WI,5
2010,WV,0
2010,FL,7
2010,WY,0
2010,NH,0
2010,NJ,6
2010,NM,4
2010,NC,5
2010,ND,3
2010,NE,0
2010,NY,9
2010,RI,0
2010,NV,4
2010,CO,3
2010,CA,15
2010,GA,2
2010,SA,1
2010,CT,2
2010,ON,4
2010,OK,1
2010,OH,10
2010,KS,2
2010,SC,0
2010,KY,2
2010,OR,1
2010,SD,0
2010,DE,0
2010,DC,0
2010,HI,0
2010,SK,2
2010,TX,12
2010,LA,0
2010,TN,3
2010,PA,6
2010,VA,3
2010,AB,3
2010,AK,0
2010,AL,0
2010,AR,0
2010,VT,0
2010,IL,6
2010,IN,1
2010,IA,3
2010,AZ,2
2010,ID,0
2010,ME,0
2010,MD,3
2010,MA,5
2010,MB,1
2010,UT,1
2010,MO,2
2010,MN,3
2010,MI,5
2010,MT,0
2010,QC,1
2010,MS,0
2010,total,152
2011,WA,4
2011,BC,3
2011,WI,5
2011,WV,0
2011,FL,11
2011,WY,0
2011,NH,0
2011,NJ,4
2011,NM,5
2011,NC,2
2011,ND,0
2011,NE,0
2011,NY,3
2011,RI,0
2011,NV,2
2011,CO,5
2011,CA,18
2011,GA,4
2011,CT,0
2011,ON,2
2011,OK,4
2011,OH,5
2011,KS,2
2011,SC,0
2011,KY,0
2011,OR,4
2011,SD,0
2011,DE,0
2011,DC,0
2011,HI,0
2011,SK,2
2011,TX,9
2011,LA,3
2011,TN,1
2011,PA,2
2011,VA,3
2011,AB,6
2011,AK,0
2011,AL,0
2011,AR,0
2011,VT,0
2011,IL,5
2011,IN,1
2011,IA,2
2011,AZ,3
2011,ID,0
2011,ME,0
2011,MD,1
2011,MA,5
2011,MB,1
2011,UT,5
2011,MO,1
2011,MN,3
2011,MI,10
2011,MT,0
2011,QC,3
2011,MS,0
2011,total,149
2012,WA,3
2012,WI,4
2012,WV,0
2012,FL,4
2012,WY,0
2012,NH,0
2012,NJ,2
2012,NM,2
2012,NC,3
2012,ND,0
2012,NE,0
2012,NY,7
2012,RI,1
2012,NV,2
2012,CO,4
2012,CA,6
2012,GA,4
2012,CT,1
2012,OK,5
2012,OH,5
2012,KS,8
2012,SC,2
2012,KY,0
2012,OR,0
2012,SD,0
2012,DE,0
2012,DC,0
2012,HI,0
2012,SK,2
2012,TX,5
2012,LA,0
2012,TN,1
2012,PA,5
2012,VA,3
2012,AB,4
2012,AK,0
2012,AL,0
2012,AR,0
2012,VT,0
2012,IL,2
2012,IN,3
2012,IA,2
2012,AZ,4
2012,ID,1
2012,ME,0
2012,MD,0
2012,MA,2
2012,MB,1
2012,UT,0
2012,MO,1
2012,MN,0
2012,MI,6
2012,MT,0
2012,QC,5
2012,MS,0
2012,total,110
2013,WA,5
2013,WI,4
2013,WV,0
2013,FL,4
2013,WY,0
2013,NH,0
2013,NJ,2
2013,NM,2
2013,NC,1
2013,ND,0
2013,NE,0
2013,NY,6
2013,RI,0
2013,NV,5
2013,CO,7
2013,CA,14
2013,GA,3
2013,SA,1
2013,CT,2
2013,ON,2
2013,OK,2
2013,OH,6
2013,KS,2
2013,SC,4
2013,KY,0
2013,OR,1
2013,SD,0
2013,DE,0
2013,DC,0
2013,HI,0
2013,TX,14
2013,LA,2
2013,TN,2
2013,PA,8
2013,VA,3
2013,AB,3
2013,AK,0
2013,AL,0
2013,AR,0
2013,VT,0
2013,IL,5
2013,IN,1
2013,IA,0
2013,AZ,2
2013,ID,0
2013,ME,0
2013,MD,1
2013,MA,2
2013,MB,3
2013,UT,3
2013,MO,0
2013,MN,2
2013,MI,10
2013,MT,0
2013,QC,1
2013,MS,0
2013,total,135
2014,WA,1
2014,WI,3
2014,WV,0
2014,FL,5
2014,WY,0
2014,NH,0
2014,NJ,4
2014,NM,2
2014,NC,4
2014,ND,0
2014,NE,0
2014,NY,7
2014,RI,1
2014,NV,2
2014,CO,2
2014,CA,16
2014,GA,5
2014,CT,2
2014,ON,2
2014,OK,1
2014,OH,4
2014,KS,1
2014,SC,0
2014,KY,0
2014,OR,1
2014,SD,0
2014,DE,0
2014,DC,0
2014,HI,0
2014,TX,11
2014,LA,0
2014,TN,2
2014,PA,6
2014,VA,1
2014,AK,1
2014,AL,1
2014,AR,0
2014,VT,0
2014,IL,4
2014,IN,1
2014,IA,0
2014,AZ,2
2014,ID,0
2014,ME,0
2014,MD,3
2014,MA,2
2014,UT,2
2014,MO,3
2014,MN,1
2014,MI,2
2014,MT,0
2014,QC,1
2014,MS,0
2014,total,106
